Date,PM10.Arpa,rain,RI,windWE,windNS,wind_gust,wind,wind_max
2020-05-01,10.0,0.05833333333333333,0.6,-0.18694254505615182,0.3676699896404903,2.295833333333333,0.9708333333333333,2.3
2020-05-02,8.0,0.008333333333333333,0.1,-0.2125283178475279,-1.2671890415745521,4.0625,1.8375000000000001,3.6
2020-05-03,7.0,0.0,0.0,-0.0929343884165541,1.0715828758031567,4.283333333333332,1.9000000000000001,2.7
2020-05-04,9.0,0.0,0.0,-0.028842140018032775,0.5750011792773052,3.7375000000000003,1.5708333333333337,2.5
2020-05-05,10.0,0.0,0.0,-0.8768787027217629,-0.9912987065123499,3.741666666666667,1.6166666666666665,2.9
2020-05-06,13.0,0.0,0.0,-0.38058518781778156,1.3893228397903172,4.175,1.8333333333333333,3.4
2020-05-07,12.0,0.0,0.0,-0.05748101774607303,0.823138178795986,2.5291666666666663,1.0708333333333333,2.0
2020-05-08,16.0,0.0,0.0,-0.4688084659057578,-0.2646552055760612,3.233333333333333,1.1916666666666664,2.0
2020-05-09,11.0,0.0,0.0,-0.9129361825055516,-0.701369496210872,3.6624999999999996,1.520833333333333,2.5
2020-05-10,13.0,0.05000000000000001,0.6000000000000001,0.12470636248942589,-0.23664847364418828,3.2875,1.4000000000000001,2.0
2020-05-11,8.0,2.116666666666667,7.1000000000000005,0.5368711960574654,1.6999855133222814,4.804166666666666,2.0375,3.3
2020-05-12,8.0,0.016666666666666666,0.1,-0.392175782383577,-0.3319719568322336,2.8124999999999996,1.0958333333333334,2.3
2020-05-13,11.0,0.05000000000000001,0.3,0.45009958960319757,1.0072954027056376,3.4250000000000003,1.6416666666666666,2.5
2020-05-14,16.0,0.625,7.4,-0.37253598805515153,0.4200923720578924,2.995833333333333,1.1291666666666667,2.5
2020-05-15,7.0,1.9333333333333336,17.4,-0.12148253743151949,-0.7059203298888818,4.570833333333334,1.7791666666666661,3.1
2020-05-16,13.0,0.016666666666666666,0.2,-0.16759878933917383,1.2259543037455387,4.0375,1.679166666666667,3.0
2020-05-17,9.0,0.4583333333333334,3.7,0.012217694938495484,0.34048806989425234,2.6458333333333326,1.1208333333333333,2.0
2020-05-18,14.0,0.0,0.0,-0.23458079467166248,0.4081387495331385,3.1916666666666664,1.4416666666666667,3.2
2020-05-19,10.0,0.15,1.4,0.18048576416509254,0.02917257920701299,3.1500000000000004,1.370833333333333,3.1
2020-05-20,15.0,0.0,0.0,-0.7360178236314144,0.3399571709959055,2.9166666666666665,1.3416666666666668,2.8
2020-05-21,14.0,0.0,0.0,-0.012702947874321203,0.9264446377547344,3.1958333333333333,1.3791666666666662,2.0
2020-05-22,17.0,0.0,0.0,-0.2360446799663386,0.41656091803987233,2.8624999999999994,1.225,2.1
2020-05-23,10.0,0.12500000000000003,1.4,-0.7347613250210587,-0.5848065548939129,3.266666666666667,1.341666666666667,2.8
2020-05-24,9.0,0.0,0.0,-0.052866038012448276,0.7108354922611154,3.5333333333333328,1.4041666666666668,2.7
2020-05-25,10.0,0.0,0.0,-0.19808651334740224,0.046166978984837986,3.3791666666666664,1.4208333333333332,2.7
2020-05-26,9.0,0.0,0.0,0.05366481736792535,1.3428314831404782,3.891666666666666,1.5916666666666666,2.9
2020-05-27,10.0,0.0,0.0,-0.11528849226904932,1.034538269460882,3.404166666666667,1.520833333333333,2.8
2020-05-28,14.0,0.0,0.0,-0.9467167305278997,0.2468406907532339,3.3708333333333336,1.4083333333333334,2.6
2020-05-29,10.0,0.0,0.0,-0.6400028568327469,1.538269852604148,5.033333333333332,2.0499999999999994,3.2
2020-05-30,13.0,0.0,0.0,-0.7058522546119265,0.9439725412092231,3.1875,1.3333333333333333,2.6
2020-05-31,11.0,0.041666666666666664,0.30000000000000004,-0.4040351232003538,0.827335317785754,3.733333333333334,1.4583333333333333,2.2
2020-06-01,14.0,0.0,0.0,-0.3673069036501769,0.719120217309814,3.104166666666668,1.283333333333333,2.4
2020-06-02,13.0,0.5750000000000001,6.9,-0.5117523030904424,-0.14662282642240823,3.85,1.5416666666666667,4.5
2020-06-03,10.0,0.0,0.0,-0.4757559513415415,-0.14771072109258593,3.6041666666666665,1.5083333333333335,3.8
2020-06-04,7.0,1.0833333333333335,4.6,0.3659095674259285,1.5437892208613204,4.016666666666667,1.7208333333333332,2.6
2020-06-05,6.0,0.10000000000000002,1.8,-0.5316339603036937,-0.9411349155910481,3.595833333333333,1.3708333333333333,2.3
2020-06-06,9.0,0.0,0.0,-0.3193942597902518,0.4109786377268003,3.8708333333333322,1.5999999999999999,3.2
2020-06-07,14.0,1.4000000000000001,5.8,0.9311218481083939,0.750264945003012,5.008333333333334,2.120833333333333,5.1
2020-06-08,6.0,1.075,10.3,0.4078805822147192,0.3741580442930654,2.775,1.0958333333333334,2.6
2020-06-09,6.0,0.09166666666666667,1.0,-0.12702176795250644,-0.19559902328494674,2.9916666666666667,1.2416666666666665,2.5
2020-06-10,10.0,0.0,0.0,-0.03973823479121726,-0.0005920976456116311,2.6999999999999997,1.2166666666666666,4.1
2020-06-11,14.0,0.4833333333333332,3.5999999999999996,0.1192792463702137,0.8210166258236732,2.5166666666666666,1.1125,1.8
2020-06-12,14.0,0.0,0.0,0.32339682747920345,-0.4077008516921133,2.6625,1.0625,1.9
2020-06-13,9.0,0.10833333333333335,1.2000000000000002,-0.20875985940203526,-0.8588318083344427,3.241666666666666,1.2625,2.7
2020-06-14,8.0,0.10000000000000002,0.9000000000000001,-0.7458413139111211,0.0004982904517473602,2.9000000000000004,1.2291666666666667,2.1
