Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2019/12/01,30
2019/12/02,18
2019/12/03,19
2019/12/04,24
2019/12/05,53
2019/12/06,66
2019/12/07,54
2019/12/08,64
2019/12/09,71
2019/12/10,26
2019/12/11,34
2019/12/12,26
2019/12/13,23
2019/12/14,33
2019/12/15,33
2019/12/16,36
2019/12/17,43
2019/12/18,44
2019/12/19,32
2019/12/20,23
2019/12/21,16
2019/12/22,11
2019/12/23,11
2019/12/24,20
2019/12/25,21
2019/12/26,34
2019/12/27,52
2019/12/28,60
2019/12/29,59
2019/12/30,51
2019/12/31,61
2020/01/01,154
2020/01/02,62
2020/01/03,72
2020/01/04,54
2020/01/05,42
2020/01/06,52
2020/01/07,59
2020/01/08,63
2020/01/09,74
2020/01/10,84
2020/01/11,84
2020/01/12,61
2020/01/13,74
2020/01/14,92
2020/01/15,79
2020/01/16,84
2020/01/17,69
2020/01/18,40
2020/01/19,41
2020/01/20,25
2020/01/21,51
2020/01/22,49
2020/01/23,67
2020/01/24,98
2020/01/25,80
2020/01/26,81
2020/01/27,99
2020/01/28,61
2020/01/29,30
2020/01/30,47
2020/01/31,70
2020/02/01,80
2020/02/02,40
2020/02/03,45
2020/02/04,40
2020/02/05,13
2020/02/06,24
2020/02/07,43
2020/02/08,55
2020/02/09,79
2020/02/10,64
2020/02/11,28
2020/02/12,15
2020/02/13,35
2020/02/14,35
2020/02/15,62
2020/02/16,72
2020/02/17,54
2020/02/18,59
2020/02/19,51
2020/02/20,25
2020/02/21,46
2020/02/22,54
2020/02/23,44
2020/02/24,43
2020/02/25,64
2020/02/26,42
2020/02/27,12
2020/02/28,12
2020/02/29,27
2020/03/01,30
